Country,Population,% of world,Date
Kosovo,1585566,0.02,2024-04-04
Timor-Leste,1391221,0.02,2025-07-01
Trinidad and Tobago,1367764,0.02,2025-06-30
Estonia,1362954,0.02,2026-01-01
Mauritius,1243741,0.02,2025-07-01
Eswatini,1235549,0.02,2024-07-01
Djibouti,1066809,0.01,2024-05-20
Cyprus,966400,0.01,2023-12-31
Comoros,919901,0.01,
Fiji,900869,0.01,2025-01-01
Bhutan,784043,0.01,
Guyana,772975,0.009,2021-07-01
Solomon Islands,750325,0.009,2024-07-01
Macau (China),686600,0.008,2025-09-30
Luxembourg,681973,0.008,2025-01-01
Montenegro,623327,0.008,2025-01-01
Suriname,616500,0.007,2021-07-01
Western Sahara (disputed),600904,0.007,2025-07-01
Malta,574250,0.007,2024-12-31
Maldives,515132,0.006,2022-09-13
Cape Verde,491233,0.006,2021-06-16
Northern Cyprus,476214,0.006,2023-12-31
Brunei,455500,0.006,2024-07-01
Belize,417634,0.005,2025-07-01
Bahamas,398165,0.005,2022-04-04
Iceland,393160,0.005,2025-10-01
Transnistria,367776,0.004,2024-03-31
Vanuatu,321409,0.004,2024-07-01
French Polynesia (France),279500,0.003,2024-12-31
Barbados,267800,0.003,2022-12-31
New Caledonia (France),264596,0.003,2025-01-01
Abkhazia,244236,0.003,2022-01-01
São Tomé and Príncipe,209607,0.003,
Samoa,205557,0.002,2021-11-06
Saint Lucia,184100,0.002,2023-07-01
Curaçao (Netherlands),156115,0.002,2025-01-01
Guam (US),153836,0.002,2020-04-01
Seychelles,122729,0.001,2025-06-30
Kiribati,120740,0.001,2021-07-01
Saint Vincent and the Grenadines,110872,0.001,2022-07-01
Aruba (Netherlands),109435,0.001,2025-06-30
Grenada,109021,0.001,
Micronesia,105564,0.001,
Antigua and Barbuda,103603,0.001,2024-01-01
Jersey (UK),103267,0.001,2021-03-21
Tonga,100179,0.001,2021-11-30
Andorra,89058,0.001,2026-01-01
Cayman Islands (UK),88833,0.001,2024-12-31
U.S. Virgin Islands (US),87146,0.001,2020-04-01
Isle of Man (UK),84975,0.001,2025-04-01
Dominica,67408,0.0008,2017-12-31
Guernsey (UK),64781,0.0008,2023-12-31
Bermuda (UK),64055,0.0008,2021-07-01
Greenland (Denmark),56831,0.0007,2025-07-01
South Ossetia,56520,0.0007,2021-12-31
Faroe Islands (Denmark),54870,0.0007,2025-11-01
Saint Kitts and Nevis,51320,0.0006,
